Sprite Room,Monster Room,Same Room,Distance To Char,Distance To Room Center,Killed,Action Choice
0,5,0,402.549,416.499,0,1
1,5,0,308.81,366.969,0,1
2,5,0,267.916,253.787,0,1
4,5,0,242.748,319.016,0,1
0,5,0,398.05,397.856,0,1
2,5,0,279.087,286.136,0,1
0,5,0,418.63,447.208,0,1
0,5,0,294.749,391.624,0,1
2,5,0,173.445,253.798,0,1
0,5,0,232.228,328.452,0,1
0,5,0,287.291,327.64,0,1
0,5,0,389.846,336.535,0,1
0,5,0,252.125,368.329,0,1
0,5,0,351.563,387.885,0,1
0,5,0,353.701,443.795,0,1
0,5,0,464.681,475.799,0,1
0,5,0,323.892,419.547,0,1
0,5,0,380.469,364.456,0,1
0,5,0,396.856,394.643,0,1
1,5,0,309.055,365.854,0,1
0,5,0,422.587,436.637,0,1
4,5,0,282.137,340.692,0,1
0,5,0,322.579,336.691,0,1
5,5,1,52.3349,93.7718,0,1
0,5,0,361.265,338.826,0,1
2,5,0,232.525,229.824,0,1
0,5,0,346.784,441.564,0,1
0,5,0,327.857,439.161,0,1
0,5,0,368.119,322.736,0,1
0,5,0,401.025,401.76,0,1
0,5,0,252.35,316.671,0,1
2,5,0,264.939,252.272,0,1
0,5,0,410.046,431.665,0,1
5,5,1,205.912,95.3712,0,1
5,5,1,120.116,24.9748,0,1
0,5,0,370.32,364.281,0,1
0,5,0,318.094,383.102,0,1
0,5,0,491.767,469.832,0,1
0,5,0,312.521,366.282,0,1
0,5,0,358.541,353.407,0,1
4,5,0,331.391,361.747,0,1
0,5,0,256.96,316.121,0,1
0,5,0,440.495,325.318,0,1
0,5,0,425.077,457.361,0,1
2,5,0,227.421,209.123,0,1
0,5,0,359.228,320.018,0,1
4,5,0,328.582,361.89,0,1
0,5,0,422.673,448.126,0,1
4,5,0,235.044,265.91,0,1
0,5,0,237.202,327.87,0,1
0,5,0,388.487,341.599,0,1
4,5,0,317.129,344.05,0,1
5,5,1,212.498,75.8688,0,1
0,5,0,363.094,351.376,0,1
0,5,0,466.623,445.814,0,1
0,5,0,318.384,335.5,0,1
0,5,0,229.618,320.464,0,1
5,5,1,127.161,110.112,0,1
0,5,0,363.646,443.355,0,1
0,5,0,262.651,321.54,0,1
0,5,0,492.048,442.099,0,1
5,5,1,220.09,52.0685,0,1
2,5,0,353.424,302.231,0,1
4,5,0,191.35,232.712,0,1
0,5,0,251.835,340.073,0,1
0,5,0,491.921,440.965,0,1
1,5,0,185.896,273.279,0,1
2,5,0,232.082,229.335,0,1
0,5,0,290.989,293.05,0,1
0,5,0,266.793,364.839,0,1
0,5,0,257.479,314.982,0,1
0,5,0,396.906,327.842,0,1
2,5,0,320.306,244.8,0,1
0,5,0,398.854,319.315,0,1
0,5,0,353.546,327.566,0,1
